,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
49,1109484213,2015-12-21T00:00:00,310.0,,,CA,201511.0,,,PA,RE,UNION AV/17TH ST,2A45,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
50,1109486545,2015-12-16T00:00:00,1245.0,,,CA,201602.0,,NISS,PA,BL,2504 JAMES M WOOD,00261,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
51,1109486792,2015-12-16T00:00:00,1435.0,,,CA,201511.0,,,TR,WH,VENDOME/MARATHON,2A17,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
52,1109704923,2015-12-28T00:00:00,845.0,,,CA,201606.0,,ACUR,PA,BK,1606 N LAUREL AV,,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
53,1109704934,2015-12-28T00:00:00,847.0,,,OR,200316.0,,,PA,SI,1620 N LAUREL AV,,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
54,1109704945,2015-12-28T00:00:00,848.0,,,CA,201512.0,,,TR,BL,1624 N LAUREL AV,,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
55,1109810450,2015-12-23T00:00:00,2304.0,,,CA,201605.0,,,PA,WH,2551 MOTOR,,36.0,8603,PK IN PROH AREA,68.0,6438048.2,1839690.7
56,1109811360,2015-12-26T00:00:00,2231.0,,,CA,201506.0,,SCIO,SU,BK,1141 EAGLE VISTA DR,,36.0,8603,PK IN PROH AREA,68.0,6504463.3,1874621.5
57,1109812060,2015-12-22T00:00:00,2306.0,,,CA,201610.0,,,VN,WH,12467 OSBORNE ST,,36.0,8603,PK IN PROH AREA,68.0,99999.0,99999.0
58,1109818625,2015-12-27T00:00:00,2235.0,,,CA,201601.0,,CADI,PA,BK,2551 MOTOR AVE,,34.0,6344K2,NO PK BET 1-3AM,68.0,6438048.2,1839690.7
59,1109926252,2015-12-18T00:00:00,738.0,,,CA,201508.0,,KIA,PA,WH,CATTARAUGUS AVE/HOLT,8A95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
60,1109926263,2015-12-18T00:00:00,2015.0,,,CA,201511.0,,,PA,GY,CASTLE HGTS AV/VICAR,8A95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
61,1109926274,2015-12-18T00:00:00,2020.0,,,CA,201510.0,,,PA,WH,3258 CASTLE HEIGHTS,8A95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
62,1110078550,2015-12-18T00:00:00,2334.0,,,CA,201510.0,,,PA,BK,1937 GREENFIELD AV,8EL2,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
63,1110078561,2015-12-19T00:00:00,215.0,,,CA,201508.0,,,PA,GY,IOWA/FEDERAL,8EL2,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
64,1110245776,2015-12-16T00:00:00,200.0,,,CA,201504.0,,FREI,TR,RE,IMPERIAL/LA CIENEGA,,1.0,018,22502A,63.0,99999.0,99999.0
65,1110245780,2015-12-16T00:00:00,240.0,,,CA,201512.0,,,TR,WH,AVIATION/IMPERIAL,,1.0,8069AP,NO STOP/STAND PM,93.0,99999.0,99999.0
66,1110245791,2015-12-21T00:00:00,815.0,,,CA,201608.0,,KW,TR,RE,SEPULVEDA/VENICE S/O,,1.0,018,22502A,63.0,99999.0,99999.0
67,1110245802,2015-12-21T00:00:00,1335.0,,,CA,201601.0,,HINO,TR,WH,IMPERIAL/LA CIENEGA,,1.0,8069AP,NO STOP/STAND PM,93.0,99999.0,99999.0
68,1110265251,2015-12-16T00:00:00,1340.0,,,CA,,,,TR,WH,ORION AVE/SHERMAN WY,22MP4,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
69,1110265262,2015-12-16T00:00:00,1455.0,,,CA,201506.0,,,MH,TA,COLUMBUS S/O GRAHAM,22MP4,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
70,1110265273,2015-12-16T00:00:00,1500.0,,,CA,201505.0,,TOYO,PA,RE,COLUMBUS AVE/GRESHAM,22MP4,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
71,1110265284,2015-12-18T00:00:00,1100.0,,,CA,201407.0,,,PA,RE,SEPULVEDA BL/COVELLO,22MP4,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
72,1110292982,2015-09-16T00:00:00,2115.0,,,CA,201508.0,,,PA,WH,BLAINE/11TH PL,LAPD,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
73,1110292993,2015-09-16T00:00:00,2130.0,,,CA,201506.0,,,PA,GY,BLAINE/11TH PL,1FB95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
74,1110297521,2015-09-14T00:00:00,1905.0,,,CA,201609.0,,,PA,BL,SUNBURY/JAMES M WOOD,1FB94,1.0,8069AP,NO STOP/STAND PM,93.0,99999.0,99999.0
75,1110297532,2015-09-14T00:00:00,2142.0,,,CA,201605.0,,NISS,PA,GY,800 W OLYMPIC BL,1FB94,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
76,1110299315,2015-09-14T00:00:00,1920.0,,,CA,201509.0,,HOND,PA,BK,GEORGIA/17TH ST,00192,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
77,1110299536,2015-09-14T00:00:00,1810.0,,,CA,201508.0,,LROV,SU,BK,11TH E/O,1FB92,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
78,1110299540,2015-09-14T00:00:00,224.0,,,CA,201508.0,,,PA,GY,FIGUEROA N/O VENICE,1FB92,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
79,1110299551,2015-09-14T00:00:00,2245.0,,,CA,201503.0,,CADI,PA,BK,FIGUEROA N/O VENICE,1FB92,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
80,1110299562,2015-09-14T00:00:00,2305.0,CB1463B,,CA,201509.0,,VOLK,PA,BL,HOPE S/O 11TH ST,1FB92,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
81,1111259715,2015-12-26T00:00:00,1920.0,,,CA,201702.0,,OLDS,,BU,501 S VENICE BLVD,,36.0,80714,PRIVATE PROPERTY,68.0,6420102.2,1817944.7
82,1111881573,2015-12-23T00:00:00,2150.0,,,CA,201606.0,,BMW,SU,WH,380 WORLD WAY U/L,2F91,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
83,1111884071,2015-12-12T00:00:00,922.0,,,CA,201506.0,,,PA,WH,7610 WOODLEY AVE,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
84,1111884082,2015-12-12T00:00:00,930.0,,,CA,201509.0,,,PA,GY,7610 WOODLEY AVE,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
85,1111884093,2015-12-12T00:00:00,938.0,,,WA,201505.0,,VOLK,PA,GY,7610 WOODLEY AVE/G,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
86,1111884104,2015-12-18T00:00:00,1130.0,,,CA,201505.0,,LROV,UT,RE,7610 WOODLEY AVE 1E,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
87,1111884115,2015-12-19T00:00:00,1130.0,,,CA,201412.0,,,PA,GR,7610 WOODLEY AVE/B,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
88,1111884126,2015-12-19T00:00:00,1153.0,,,CA,201508.0,,,PA,BK,7610 WOODLEY AVE 2A,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
89,1111884130,2015-12-19T00:00:00,1200.0,,,NJ,201212.0,,,PA,GO,7610 WOODLEY AVE,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
90,1111915173,2015-12-27T00:00:00,45.0,,,CA,201601.0,,TOYO,PA,BK,500 WORLD WAY UPPER,3A314,2.0,000,17104h,,6439868.3,1802686.9
91,1111927504,2015-12-11T00:00:00,1141.0,,,CA,201508.0,,FORD,PA,WH,7610 WOODLEY AVE/2B,1A4,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
92,1111927515,2015-12-21T00:00:00,935.0,,,CA,200815.0,,,PA,GY,7610 WOODLEY AVE 4C,1A4,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
93,1111927526,2015-12-21T00:00:00,1000.0,,,CO,201403.0,,CHRY,SU,RE,7610 WOODLEY AVE,1A4,11.0,002,4000A,50.0,6415432.1,1898663.3
94,1111927530,2015-12-21T00:00:00,1035.0,,,CA,201701.0,,,PA,GY,7610 WOODLEY AVE 4B,1A4,11.0,8940,PARKING AREA,58.0,6415432.1,1898663.3
95,1111967183,2015-12-22T00:00:00,305.0,,,CA,201609.0,,,PA,YE,700 WORLD WAY L/L,3L20,2.0,8939,WHITE CURB,58.0,6439781.9,1802687.3
96,1111967194,2015-12-22T00:00:00,310.0,,,CA,201603.0,,TOYO,PA,YE,700 WORLD WAY L/L,3L20,2.0,007,22500B,68.0,6439781.9,1802687.3
97,1111967205,2015-12-28T00:00:00,125.0,,,CA,201606.0,,BUIC,PA,WH,500 WORLD WAY U/L,3L20,2.0,8939,WHITE CURB,58.0,6439868.3,1802686.9
98,1111979492,2015-12-16T00:00:00,1015.0,,,CA,201608.0,,TOYO,PA,RE,500 WORLD WAY L/L,2C5B,2.0,8939,WHITE CURB,58.0,6439868.3,1802686.9
99,1111986724,2015-12-23T00:00:00,1515.0,,,CA,201601.0,,TOYO,PA,WH,300 WORLD WAY,2R2,2.0,030,22522,363.0,6439954.7,1802686.6
100,1112006442,2015-12-24T00:00:00,1000.0,,,CA,201507.0,,CADI,PA,BK,251 WORLD WAY,1R2,2.0,5204A,EXPIRED TAGS,25.0,6438218.5,1802452.9
101,1112006453,2015-12-24T00:00:00,,,,CA,201508.0,,HYUN,PA,GY,251 WORLD WAY,1R2,2.0,5204A,EXPIRED TAGS,25.0,6438218.5,1802452.9
102,1112013556,2015-12-23T00:00:00,1145.0,,,CA,201607.0,,,PA,SI,500 WORLD WAY,7K949,2.0,8939,WHITE CURB,58.0,6439868.3,1802686.9
103,1112035562,2015-12-25T00:00:00,2315.0,,,CA,201601.0,,,PA,BL,600 WORLD WAY,3F52,2.0,8939,WHITE CURB,58.0,6439825.1,1802687.1
104,1112035842,2015-12-14T00:00:00,850.0,,,CA,201607.0,,,PA,RE,600 WORLD WAY,2C4B,2.0,8939,WHITE CURB,58.0,6439825.1,1802687.1
105,1112035853,2015-12-16T00:00:00,1220.0,,,CA,201606.0,,,PA,GY,243 CENTER WAY,2C4B,2.0,80714,PRIVATE PROPERTY,68.0,6439915.9,1802241.0
106,1112035864,2015-12-16T00:00:00,1615.0,,,CA,201510.0,,CHEV,SU,BK,U/L 380 WORLD WAY,2C4B,2.0,000,17104h,,6439920.1,1802686.7
107,1112040893,2015-12-15T00:00:00,1715.0,,,CA,,,,,BK,700 WORLD WAY L/L,3C305,2.0,8939,WHITE CURB,58.0,6439781.9,1802687.3
108,1112056735,2015-12-16T00:00:00,1505.0,,,CA,201505.0,,,PA,BL,501 WORLD WAY 3G,5M21,2.0,4000A1,NO EVIDENCE OF REG,50.0,6438087.0,1801647.3
109,1112058614,2015-12-16T00:00:00,845.0,,,CA,201601.0,,KIA,PA,BK,7610 WOODLEY AVE,1C15,11.0,89391C,EXCEED TIME LMT,58.0,6415432.1,1898663.3
110,1112058802,2015-12-10T00:00:00,1245.0,,,CA,201509.0,,,PA,BL,7610 WOODLEY AVE,1C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
111,1112058813,2015-12-12T00:00:00,1850.0,,,CA,201601.0,,,PA,BL,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
112,1112058824,2015-12-12T00:00:00,1900.0,,,CA,201701.0,,,PA,GY,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
113,1112058835,2015-12-12T00:00:00,1905.0,,,CA,201605.0,,FORD,PA,WH,7610 WOODLEY AVE,2C12,11.0,225078C2,HANDICAP/CROSS HATCH,363.0,6415432.1,1898663.3
114,1112058846,2015-12-12T00:00:00,1920.0,,,CA,201506.0,,,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
115,1112058850,2015-12-12T00:00:00,1925.0,,,CA,201601.0,,FORD,PA,WH,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
116,1112058872,2015-12-17T00:00:00,1905.0,,,AR,201608.0,,,,BL,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
117,1112058883,2015-12-17T00:00:00,1915.0,,,CA,201509.0,,NISS,PA,WH,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
118,1112058894,2015-12-17T00:00:00,1920.0,,,CA,201509.0,,TOYO,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
119,1112058931,2015-12-21T00:00:00,1700.0,,,MA,201407.0,,,PA,WH,7610 WOODLEY AVE,2C12,11.0,002,4000A,50.0,6415432.1,1898663.3
120,1112064726,2015-12-25T00:00:00,2218.0,,,CA,201506.0,,,PA,GY,101 WORLD WAY,3A206,2.0,4000A1,NO EVIDENCE OF REG,50.0,6439737.8,1802687.4
121,1112064730,2015-12-25T00:00:00,2241.0,,,CA,201508.0,,BMW,PA,BK,101 WORLD WAY,3A206,2.0,4000A1,NO EVIDENCE OF REG,50.0,6439737.8,1802687.4
122,1112069140,2015-12-26T00:00:00,1425.0,,,CA,201610.0,,,PA,WH,400 WORLD WAY,2A206,2.0,8939,WHITE CURB,58.0,6439911.5,1802686.8
123,1112069534,2015-12-23T00:00:00,1650.0,,,CA,201605.0,,,PA,WH,700 WORLD WAY,2A315,2.0,8939,WHITE CURB,58.0,6439781.9,1802687.3
124,1112069545,2015-12-27T00:00:00,2056.0,,,CA,201410.0,,HOND,PA,WH,6221 W 96TH ST/27D,2A315,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
125,1112069954,2015-12-21T00:00:00,18.0,,,CA,201501.0,,NISS,PA,WH,200 WORLD WAY,3F22,2.0,8939,WHITE CURB,58.0,6439997.9,1802686.4
126,1112069965,2015-12-23T00:00:00,434.0,,,CA,201506.0,,TOYO,PA,RE,101 WORLD WAY,3A206,2.0,4000A1,NO EVIDENCE OF REG,50.0,6439737.8,1802687.4
127,1112069976,2015-12-23T00:00:00,439.0,,,CA,201506.0,,,PA,BK,101 WORLD WAY,3A206,2.0,5204A,EXPIRED TAGS,25.0,6439737.8,1802687.4
128,1112070411,2015-12-23T00:00:00,1720.0,,,CA,201508.0,,BMW,PA,GY,299 WORLD WY,2B1,2.0,5204A,EXPIRED TAGS,25.0,6437973.8,1802395.3
129,1112070422,2015-12-23T00:00:00,1745.0,,,CA,201504.0,,MBNZ,PA,BK,251 WORLD WY,2B1,2.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
130,1112071284,2015-12-22T00:00:00,1520.0,,,CA,,,,,WH,6221 W 96TH ST/18A,2A105,2.0,8940,PARKING AREA,58.0,6442059.6,1803997.6
131,1112071295,2015-12-22T00:00:00,1600.0,,,CA,201601.0,,NISS,PA,BK,6221 W 96TH ST/19A,2A105,2.0,8936,RED CURB,93.0,6442059.6,1803997.6
132,1112071306,2015-12-22T00:00:00,1600.0,,,CA,201602.0,,NISS,PA,GY,6221 W 96TH ST/20A,2A105,2.0,8936,RED CURB,93.0,99999.0,99999.0
133,1112071310,2015-12-22T00:00:00,1610.0,,,CA,201602.0,,FORD,PA,WH,6221 W 96TH ST/20A,2A105,2.0,8936,RED CURB,93.0,99999.0,99999.0
134,1112071321,2015-12-22T00:00:00,1615.0,,,CA,,,,PA,WH,6221 W 96TH ST/22A,2A105,2.0,8936,RED CURB,93.0,6442059.6,1803997.6
135,1112071332,2015-12-22T00:00:00,1620.0,,,CA,201606.0,,TOYO,PA,GY,6221 W 96TH ST/22A,2A105,2.0,8936,RED CURB,93.0,6442059.6,1803997.6
136,1112071343,2015-12-22T00:00:00,1620.0,,,CA,201603.0,,TOYO,PA,BK,6221 W 96TH ST/23A,2A105,2.0,8936,RED CURB,93.0,99999.0,99999.0
137,1112071354,2015-12-22T00:00:00,1625.0,,,CA,201603.0,,CHEV,PA,GY,6221 W 96TH ST/23A,2A105,2.0,8936,RED CURB,93.0,99999.0,99999.0
138,1112071365,2015-12-22T00:00:00,1630.0,,,CA,201512.0,,,PA,BK,6221 W 96TH ST/23A,2A105,2.0,8936,RED CURB,93.0,99999.0,99999.0
139,1112071726,2015-12-24T00:00:00,825.0,,,TX,201607.0,,,PA,BK,300 WORLD WAY,5M23,2.0,8939,WHITE CURB,58.0,6439954.7,1802686.6
140,1112071730,2015-12-24T00:00:00,845.0,,,CA,201604.0,,BMW,,SI,500 WORLD WAY,1A101,2.0,8939,WHITE CURB,58.0,6439868.3,1802686.9
141,1112074530,2015-12-15T00:00:00,830.0,,,CA,201606.0,,TOYO,TR,RE,L/L 400 WORLD WAY,2C303,2.0,8939,WHITE CURB,58.0,6439911.5,1802686.8
142,1112074821,2015-12-14T00:00:00,1529.0,,,CA,,,,PA,GY,380 WORLD WAY,3C205,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
143,1112075403,2015-12-16T00:00:00,714.0,,,CA,201603.0,,FORD,TR,GY,700 WORLD WAY U/L,2C9B,2.0,8939,WHITE CURB,58.0,6439781.9,1802687.3
144,1112075425,2015-12-16T00:00:00,1022.0,,,CA,201610.0,,LEXU,PA,BK,200 WORLD WAY U/L,2C9B,2.0,8939,WHITE CURB,58.0,6439997.9,1802686.4
145,1112076243,2015-12-13T00:00:00,2054.0,,,CA,201512.0,,,PA,RE,200 WORLD WAY L/L,3C11B,2.0,8939,WHITE CURB,58.0,6439997.9,1802686.4
